[I 240930 11:08:19 webSocket:62] on open
[I 240930 11:08:19 webSocket:59] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 6610800, 'exchange_timestamp': 1727674685000, 'last_traded_price': 2594615, 'subscription_mode_val': 'LTP'}
[I 240930 11:08:19 webSocket:59] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6610702, 'exchange_timestamp': 1727674685000, 'last_traded_price': 5331010, 'subscription_mode_val': 'LTP'}
[I 240930 11:08:19 webSocket:59] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6611091, 'exchange_timestamp': 1727674685000, 'last_traded_price': 5330975, 'subscription_mode_val': 'LTP'}
[I 240930 11:08:19 webSocket:59] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 6611191, 'exchange_timestamp': 1727674686000, 'last_traded_price': 2594545, 'subscription_mode_val': 'LTP'}
[I 240930 11:08:19 webSocket:59] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6611424, 'exchange_timestamp': 1727674686000, 'last_traded_price': 5330690, 'subscription_mode_val': 'LTP'}
[I 240930 11:08:19 webSocket:59] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 6611533, 'exchange_timestamp': 1727674686000, 'last_traded_price': 2594595, 'subscription_mode_val': 'LTP'}
[I 240930 11:08:20 webSocket:59] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6611821, 'exchange_timestamp': 1727674686000, 'last_traded_price': 5331050, 'subscription_mode_val': 'LTP'}
[I 240930 11:08:20 webSocket:59] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 6611946, 'exchange_timestamp': 1727674687000, 'last_traded_price': 2594520, 'subscription_mode_val': 'LTP'}
[I 240930 11:08:20 webSocket:59] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6612162, 'exchange_timestamp': 1727674687000, 'last_traded_price': 5330780, 'subscription_mode_val': 'LTP'}
[I 240930 11:08:20 webSocket:59] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 6612275, 'exchange_timestamp': 1727674687000, 'last_traded_price': 2594560, 'subscription_mode_val': 'LTP'}
[I 240930 11:08:21 webSocket:59] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6612572, 'exchange_timestamp': 1727674687000, 'last_traded_price': 5331010, 'subscription_mode_val': 'LTP'}
