[I 241003 09:20:37 webSocket:62] WebSocket connection opened
[I 241003 09:20:37 webSocket:56] Ticks: {'subscription_mode': 1, 'exchange_type': 5, 'token': '244999', 'sequence_number': 12759, 'exchange_timestamp': 1674178057641, 'last_traded_price': 655300, 'subscription_mode_val': 'LTP'}
[W 241003 09:20:43 smartWebSocketV2:319] Attempting to resubscribe/reconnect (Attempt 1)...
[I 241003 09:20:53 webSocket:62] WebSocket connection opened
[I 241003 09:20:53 webSocket:56] Ticks: {'subscription_mode': 1, 'exchange_type': 5, 'token': '244999', 'sequence_number': 12759, 'exchange_timestamp': 1674178057641, 'last_traded_price': 655300, 'subscription_mode_val': 'LTP'}
[I 241003 09:21:40 webSocket:62] WebSocket connection opened
[I 241003 09:21:40 webSocket:56] Ticks: {'subscription_mode': 1, 'exchange_type': 5, 'token': '244999', 'sequence_number': 12759, 'exchange_timestamp': 1674178057641, 'last_traded_price': 655300, 'subscription_mode_val': 'LTP'}
[W 241003 09:21:46 smartWebSocketV2:319] Attempting to resubscribe/reconnect (Attempt 1)...
[I 241003 09:21:56 webSocket:62] WebSocket connection opened
[I 241003 09:21:56 webSocket:56] Ticks: {'subscription_mode': 1, 'exchange_type': 5, 'token': '244999', 'sequence_number': 12759, 'exchange_timestamp': 1674178057641, 'last_traded_price': 655300, 'subscription_mode_val': 'LTP'}
[I 241003 09:22:20 webSocket:62] WebSocket connection opened
[I 241003 09:22:20 webSocket:56] Ticks: {'subscription_mode': 1, 'exchange_type': 5, 'token': '244999', 'sequence_number': 12759, 'exchange_timestamp': 1674178057641, 'last_traded_price': 655300, 'subscription_mode_val': 'LTP'}
[I 241003 09:23:18 webSocket:62] WebSocket connection opened
[I 241003 09:23:18 webSocket:56] Ticks: {'subscription_mode': 1, 'exchange_type': 5, 'token': '244999', 'sequence_number': 12759, 'exchange_timestamp': 1674178057641, 'last_traded_price': 655300, 'subscription_mode_val': 'LTP'}
[I 241003 09:23:24 webSocket:56] Ticks: {'subscription_mode': 1, 'exchange_type': 5, 'token': '244999', 'sequence_number': 12759, 'exchange_timestamp': 1674178057641, 'last_traded_price': 655300, 'subscription_mode_val': 'LTP'}
[I 241003 09:23:58 webSocket:62] WebSocket connection opened
[I 241003 09:23:58 webSocket:56] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1273237, 'exchange_timestamp': 1727927624000, 'last_traded_price': 5245995, 'subscription_mode_val': 'LTP'}
[I 241003 09:23:58 webSocket:56] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1273661, 'exchange_timestamp': 1727927625000, 'last_traded_price': 5245905, 'subscription_mode_val': 'LTP'}
[I 241003 09:23:58 webSocket:56] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1273661, 'exchange_timestamp': 1727927625000, 'last_traded_price': 5245905, 'subscription_mode_val': 'LTP'}
[I 241003 09:23:58 webSocket:56] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1274232, 'exchange_timestamp': 1727927625000, 'last_traded_price': 5245935, 'subscription_mode_val': 'LTP'}
[I 241003 09:23:59 webSocket:56] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1274652, 'exchange_timestamp': 1727927626000, 'last_traded_price': 5245850, 'subscription_mode_val': 'LTP'}
[I 241003 09:23:59 webSocket:56] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1275221, 'exchange_timestamp': 1727927626000, 'last_traded_price': 5245670, 'subscription_mode_val': 'LTP'}
[I 241003 09:24:00 webSocket:56] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1275682, 'exchange_timestamp': 1727927627000, 'last_traded_price': 5245775, 'subscription_mode_val': 'LTP'}
